Section,Field or question,Guidance,Answer
Workflow definition,Workflow name,Use a clear business name,
Workflow definition,Business function,Name the owning function,
Workflow definition,Unit of work,"Case; order; claim; report; incident; or another countable unit",
Workflow definition,Trigger,What starts the work?,
Workflow definition,Completion,What counts as finished?,
Workflow definition,Users affected,Identify intended users,
Workflow definition,Business owner,Accountable for the workflow and outcome,
Workflow definition,Technical owner,Accountable for the solution and operations,
Workflow definition,Risk or control owner,"Security; privacy; legal; compliance; or other",
Current workflow,Current process,"Describe manual steps; systems; handoffs; exceptions; and human decisions",
Baseline,Volume per week or month,Record source period and sample size,
Baseline,Active users,Record source period and sample size,
Baseline,Handling time per unit,Record source period and sample size,
Baseline,End-to-end cycle time,Record source period and sample size,
Baseline,First-pass completion rate,Record source period and sample size,
Baseline,Rework or correction rate,Record source period and sample size,
Baseline,Escalation rate,Record source period and sample size,
Baseline,Backlog,Record source period and sample size,
Baseline,Customer or employee wait time,Record source period and sample size,
Baseline,Quality measure,Define the relevant quality measure,
Baseline,Cost per completed unit,Use if available,
AI intervention,Steps assisted or automated,Specify the bounded intervention,
AI intervention,Decisions remaining human,Identify judgment and approval points,
AI intervention,Required data and systems,List only necessary access,
AI intervention,Output verification,Explain how users check results,
AI intervention,Failure handling,Define uncertainty and failure paths,
AI intervention,Actions requiring approval,Identify consequential actions,
AI intervention,Action reconstruction,Explain auditability,
Value hypothesis,Testable hypothesis,"If AI is applied to [step] then [users or customers] should experience [improvement] while [quality or risk] stays within [boundary]",
Target,Adoption by intended users,Define target and measurement period,
Target,Successful completion rate,Define target and measurement period,
Target,Handling or cycle-time improvement,Define target and measurement period,
Target,Quality or accuracy,Define target and accepted boundary,
Target,Human intervention rate,Define target and accepted boundary,
Target,Rework or escalation rate,Define target and accepted boundary,
Target,Business outcome,Name the observable result,
Capacity conversion,Primary destination,"Throughput; backlog; complex work; selling time; quality; postponed work; or other",
Capacity conversion,Accountable person,Who will convert recovered capacity?,
Capacity conversion,Proof measure,What evidence will demonstrate conversion?,
Controls,Approved data,Specify allowed data,
Controls,Prohibited data,Specify excluded data,
Controls,Access permissions,Apply least privilege,
Controls,Human approval points,Identify required approvals,
Controls,Quality threshold,Define minimum acceptable quality,
Controls,Escalation conditions,Define when work returns to a person,
Controls,Monitoring and audit records,Specify evidence retained,
Controls,Rollback or stop condition,Define unacceptable outcomes,
Pilot,Participants,Identify representative users,
Pilot,Start and end dates,Set a bounded period,
Pilot,Comparison group or pre-period,Choose the evaluation design,
Pilot,Minimum useful sample,Define before launch,
Pilot,Review cadence,Set operating reviews,
Pilot,Success threshold,Define scale criteria,
Pilot,Redesign threshold,Define improvement criteria,
Pilot,Stop threshold,Define termination criteria,
Decision,Outcome,Choose Scale; Redesign; or Stop,
Decision,Evidence,Record the measures supporting the decision,
Decision,Open issues,Record unresolved risks and assumptions,
